symbol,price,date
AGRO3,9.58,07-08-2014
AGRO3,9.39,07-10-2014
AGRO3,9.75,07-11-2014
AGRO3,9.6,07-14-2014
AGRO3,9.89,07-15-2014
AGRO3,9.67,07-16-2014
AGRO3,9.78,07-17-2014
AGRO3,9.83,07-18-2014
AGRO3,9.81,07-21-2014
AGRO3,9.75,07-22-2014
AGRO3,9.69,07-23-2014
AGRO3,9.67,07-24-2014
AGRO3,9.75,07-25-2014
AGRO3,9.74,07-28-2014
AGRO3,10.0,07-29-2014
AGRO3,10.0,07-30-2014
AGRO3,9.71,07-31-2014
AGRO3,9.61,08-01-2014
AGRO3,9.8,08-04-2014
AGRO3,9.8,08-05-2014
AGRO3,9.75,08-06-2014
AGRO3,9.8,08-07-2014
AGRO3,9.64,08-08-2014
AGRO3,9.55,08-11-2014
AGRO3,9.6,08-12-2014
AGRO3,9.6,08-13-2014
AGRO3,9.7,08-14-2014
AGRO3,9.67,08-15-2014
AGRO3,9.62,08-18-2014
AGRO3,9.73,08-19-2014
AGRO3,9.74,08-20-2014
AGRO3,9.65,08-21-2014
AGRO3,9.68,08-22-2014
AGRO3,9.68,08-25-2014
AGRO3,9.75,08-26-2014
AGRO3,9.6,08-27-2014
AGRO3,9.7,08-28-2014
AGRO3,9.69,08-29-2014
AGRO3,9.44,09-01-2014
AGRO3,9.59,09-02-2014
AGRO3,9.65,09-03-2014
AGRO3,9.6,09-04-2014
AGRO3,9.7,09-05-2014
AGRO3,9.7,09-08-2014
AGRO3,9.71,09-09-2014
AGRO3,9.7,09-10-2014
AGRO3,9.7,09-11-2014
AGRO3,9.65,09-12-2014
AGRO3,9.51,09-15-2014
AGRO3,9.06,09-16-2014
AGRO3,9.11,09-17-2014
AGRO3,9.08,09-18-2014
AGRO3,9.35,09-19-2014
AGRO3,9.35,09-22-2014
AGRO3,9.35,09-23-2014
AGRO3,9.35,09-24-2014
AGRO3,9.25,09-25-2014
AGRO3,9.15,09-26-2014
AGRO3,9.15,09-29-2014
AGRO3,9.06,09-30-2014
AGRO3,9.11,10-01-2014
AGRO3,8.95,10-02-2014
AGRO3,8.95,10-03-2014
AGRO3,8.75,10-06-2014
AGRO3,9.2,10-07-2014
AGRO3,8.6,10-08-2014
AGRO3,8.3,10-09-2014
AGRO3,8.44,10-10-2014
AGRO3,8.57,10-13-2014
AGRO3,8.5,10-14-2014
AGRO3,8.22,10-15-2014
AGRO3,7.96,10-16-2014
AGRO3,8.0,10-17-2014
AGRO3,7.99,10-20-2014
AGRO3,7.77,10-21-2014
AGRO3,7.55,10-22-2014
AGRO3,7.22,10-23-2014
AGRO3,7.3,10-24-2014
AGRO3,7.29,10-27-2014
AGRO3,7.27,10-28-2014
AGRO3,7.05,10-29-2014
AGRO3,6.91,10-30-2014
AGRO3,6.93,10-31-2014
AGRO3,7.25,11-03-2014
AGRO3,7.58,11-04-2014
AGRO3,7.16,11-05-2014
AGRO3,7.84,11-06-2014
AGRO3,7.58,11-07-2014
AGRO3,7.48,11-10-2014
AGRO3,7.01,11-11-2014
AGRO3,7.01,11-12-2014
AGRO3,7.01,11-13-2014
AGRO3,7.28,11-14-2014
AGRO3,6.96,11-17-2014
AGRO3,7.01,11-18-2014
AGRO3,7.3,11-19-2014
AGRO3,7.7,11-21-2014
AGRO3,7.39,11-24-2014
AGRO3,7.01,11-25-2014
AGRO3,7.0,11-26-2014
AGRO3,7.29,11-27-2014
AGRO3,7.45,11-28-2014
AGRO3,7.42,12-01-2014
AGRO3,7.38,12-02-2014
AGRO3,7.5,12-03-2014
AGRO3,7.45,12-04-2014
AGRO3,7.52,12-05-2014
AGRO3,7.5,12-08-2014
AGRO3,7.51,12-09-2014
AGRO3,7.65,12-10-2014
AGRO3,7.78,12-11-2014
AGRO3,7.74,12-12-2014
AGRO3,7.71,12-15-2014
AGRO3,7.71,12-16-2014
AGRO3,7.84,12-17-2014
AGRO3,8.03,12-18-2014
AGRO3,8.2,12-19-2014
AGRO3,8.51,12-22-2014
AGRO3,8.6,12-23-2014
AGRO3,8.95,12-26-2014
AGRO3,8.7,12-29-2014
AGRO3,9.09,12-30-2014
AGRO3,8.65,01-02-2015
AGRO3,8.7,01-05-2015
AGRO3,8.84,01-06-2015
AGRO3,8.84,01-07-2015
AGRO3,8.7,01-08-2015
AGRO3,8.74,01-09-2015
AGRO3,8.7,01-12-2015
AGRO3,8.6,01-13-2015
AGRO3,8.6,01-14-2015
AGRO3,8.5,01-15-2015
AGRO3,8.45,01-16-2015
AGRO3,8.5,01-19-2015
AGRO3,8.45,01-20-2015
AGRO3,8.4,01-21-2015
AGRO3,8.4,01-22-2015
AGRO3,8.4,01-23-2015
AGRO3,8.5,01-26-2015
AGRO3,8.3,01-27-2015
AGRO3,8.4,01-28-2015
AGRO3,8.39,01-29-2015
AGRO3,8.49,01-30-2015
AGRO3,8.4,02-02-2015
AGRO3,8.3,02-03-2015
AGRO3,8.35,02-04-2015
AGRO3,8.3,02-05-2015
AGRO3,8.25,02-06-2015
AGRO3,8.3,02-09-2015
AGRO3,8.33,02-10-2015
AGRO3,8.3,02-11-2015
AGRO3,8.38,02-12-2015
AGRO3,8.7,02-13-2015
AGRO3,8.65,02-18-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
AGRO3,9.07,02-19-2015
ABEV3,17.39,01-02-2014
ABEV3,16.9,01-03-2014
ABEV3,16.8,01-06-2014
ABEV3,17.33,01-07-2014
ABEV3,17.5,01-08-2014
ABEV3,17.09,01-09-2014
ABEV3,17.2,01-10-2014
ABEV3,17.04,01-13-2014
ABEV3,17.25,01-14-2014
ABEV3,17.0,01-15-2014
ABEV3,16.78,01-16-2014
ABEV3,16.64,01-17-2014
ABEV3,16.7,01-20-2014
ABEV3,16.9,01-21-2014
ABEV3,17.14,01-22-2014
ABEV3,16.55,01-23-2014
ABEV3,16.43,01-24-2014
ABEV3,16.04,01-27-2014
ABEV3,16.1,01-28-2014
ABEV3,16.05,01-29-2014
ABEV3,15.87,01-30-2014
ABEV3,16.09,01-31-2014
ABEV3,15.5,02-03-2014
ABEV3,15.57,02-04-2014
ABEV3,15.44,02-05-2014
ABEV3,16.17,02-06-2014
ABEV3,16.39,02-07-2014
ABEV3,16.14,02-10-2014
ABEV3,16.6,02-11-2014
ABEV3,16.15,02-12-2014
ABEV3,16.33,02-13-2014
ABEV3,16.68,02-14-2014
ABEV3,16.56,02-17-2014
ABEV3,16.15,02-18-2014
ABEV3,16.34,02-19-2014
ABEV3,16.53,02-20-2014
